"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 04:04:18 GMT 2022","Thu Sep 15 04:04:19 GMT 2022","856","","Testes de Criação de Postagens","","","","[GET] - Consultar uma postagem",""
"passed","Thu Sep 15 04:04:20 GMT 2022","Thu Sep 15 04:04:20 GMT 2022","231","","Teste de Exclusão","","","","[DELETE] - Deletar uma postagem uma postagem por ID",""
"passed","Thu Sep 15 04:04:36 GMT 2022","Thu Sep 15 04:04:36 GMT 2022","484","","Validar Profiles","","","","Criar Experiência Profissional ",""
"passed","Thu Sep 15 04:04:27 GMT 2022","Thu Sep 15 04:04:27 GMT 2022","35","Validar página perfil","Dado que acesso a tela de login","","","","Então devo visualizar a tela login",""
"passed","Thu Sep 15 04:04:36 GMT 2022","Thu Sep 15 04:04:36 GMT 2022","246","","Validar Profiles","","","","Criar Formação Academica ",""
"passed","Thu Sep 15 04:04:32 GMT 2022","Thu Sep 15 04:04:32 GMT 2022","242","","Deleta usuário cadastrado","","","","[DELETE] - Deve remover um usuário cadastrado através do seu Token",""
"passed","Thu Sep 15 04:04:20 GMT 2022","Thu Sep 15 04:04:20 GMT 2022","189","","Teste de Exclusão","","","","[DELETE] - Deletar uma postagem uma postagem por ID inexistente",""
"passed","Thu Sep 15 04:04:19 GMT 2022","Thu Sep 15 04:04:20 GMT 2022","351","","Testes de Criação de Postagens","","","","[GET] - Consultar uma postagem por ID",""
"passed","Thu Sep 15 04:04:18 GMT 2022","Thu Sep 15 04:04:18 GMT 2022","250","","Testes de Criação de Postagens","","","","[POST] - Criar uma postagem",""
